13:06:11:1679400371+01:00,128722,749
13:06:12:1679400372+01:00,128722,862
13:06:12:1679400372+01:00,128722,862
13:06:13:1679400373+01:00,128722,862
13:06:13:1679400373+01:00,128722,862
13:06:14:1679400374+01:00,128722,862
13:06:14:1679400374+01:00,128722,862
13:06:15:1679400375+01:00,128722,863
13:06:15:1679400375+01:00,128722,864
13:06:16:1679400376+01:00,128722,913
13:06:16:1679400376+01:00,128722,1265
13:06:17:1679400377+01:00,128722,1619
13:06:18:1679400378+01:00,128722,1974
13:06:18:1679400378+01:00,128722,2331
13:06:19:1679400379+01:00,128722,2688
13:06:19:1679400379+01:00,128722,3045
13:06:20:1679400380+01:00,128722,3401
13:06:20:1679400380+01:00,128722,3757
13:06:21:1679400381+01:00,128722,4115
13:06:21:1679400381+01:00,128722,4473
13:06:22:1679400382+01:00,128722,4827
13:06:22:1679400382+01:00,128722,5186
13:06:23:1679400383+01:00,128722,5546
13:06:23:1679400383+01:00,128722,5905
13:06:24:1679400384+01:00,128722,6260
13:06:24:1679400384+01:00,128722,6620
13:06:25:1679400385+01:00,128722,6981
13:06:25:1679400385+01:00,128722,7346
13:06:26:1679400386+01:00,128722,7709
13:06:26:1679400386+01:00,128722,8071
13:06:27:1679400387+01:00,128722,8431
13:06:27:1679400387+01:00,128722,8791
13:06:28:1679400388+01:00,128722,9157
13:06:28:1679400388+01:00,128722,9518
13:06:29:1679400389+01:00,128722,9880
13:06:29:1679400389+01:00,128722,10242
13:06:30:1679400390+01:00,128722,10605
13:06:30:1679400390+01:00,128722,10968
13:06:31:1679400391+01:00,128722,11330
13:06:31:1679400391+01:00,128722,11691
13:06:32:1679400392+01:00,128722,12053
13:06:32:1679400392+01:00,128722,12416
13:06:33:1679400393+01:00,128722,12777
13:06:33:1679400393+01:00,128722,13137
13:06:34:1679400394+01:00,128722,13498
13:06:34:1679400394+01:00,128722,13857
13:06:35:1679400395+01:00,128722,14213
13:06:35:1679400395+01:00,128722,14572
13:06:36:1679400396+01:00,128722,14934
13:06:36:1679400396+01:00,128722,15299
13:06:37:1679400397+01:00,128722,15662
13:06:37:1679400397+01:00,128722,16023
13:06:38:1679400398+01:00,128722,16382
13:06:38:1679400398+01:00,128722,16744
13:06:39:1679400399+01:00,128722,17108
13:06:39:1679400399+01:00,128722,17469
13:06:40:1679400400+01:00,128722,17830
13:06:40:1679400400+01:00,128722,18192
13:06:41:1679400401+01:00,128722,18555
13:06:41:1679400401+01:00,128722,18919
13:06:42:1679400402+01:00,128722,19281
13:06:42:1679400402+01:00,128722,19641
13:06:43:1679400403+01:00,128722,20004
13:06:43:1679400403+01:00,128722,20366
13:06:44:1679400404+01:00,128722,20727
13:06:44:1679400404+01:00,128722,21088
13:06:45:1679400405+01:00,128722,21449
13:06:45:1679400405+01:00,128722,21808
13:06:46:1679400406+01:00,128722,22164
13:06:46:1679400406+01:00,128722,22523
13:06:47:1679400407+01:00,128722,22885
13:06:47:1679400407+01:00,128722,23249
13:06:48:1679400408+01:00,128722,23613
13:06:48:1679400408+01:00,128722,23976
13:06:49:1679400409+01:00,128722,24335
13:06:49:1679400409+01:00,128722,24695
13:06:50:1679400410+01:00,128722,25061
13:06:50:1679400410+01:00,128722,25423
13:06:51:1679400411+01:00,128722,25785
13:06:51:1679400411+01:00,128722,26148
13:06:52:1679400412+01:00,128722,26512
13:06:52:1679400412+01:00,128722,26876
13:06:53:1679400413+01:00,128722,27238
13:06:53:1679400413+01:00,128722,27598
13:06:54:1679400414+01:00,128722,27961
13:06:55:1679400415+01:00,128722,28323
13:06:55:1679400415+01:00,128722,28684
13:06:56:1679400416+01:00,128722,29044
13:06:56:1679400416+01:00,128722,29406
13:06:57:1679400417+01:00,128722,29765
13:06:57:1679400417+01:00,128722,30122
13:06:58:1679400418+01:00,128722,30480
13:06:58:1679400418+01:00,128722,30843
13:06:59:1679400419+01:00,128722,31208
13:06:59:1679400419+01:00,128722,31572
13:07:00:1679400420+01:00,128722,31933
13:07:00:1679400420+01:00,128722,32293
13:07:01:1679400421+01:00,128722,32655
13:07:01:1679400421+01:00,128722,33019
13:07:02:1679400422+01:00,128722,33381
13:07:02:1679400422+01:00,128722,33742
13:07:03:1679400423+01:00,128722,34104
13:07:03:1679400423+01:00,128722,34467
13:07:04:1679400424+01:00,128722,34831
13:07:04:1679400424+01:00,128722,35192
13:07:05:1679400425+01:00,128722,35553
13:07:05:1679400425+01:00,128722,35916
13:07:06:1679400426+01:00,128722,36277
13:07:06:1679400426+01:00,128722,36637
13:07:07:1679400427+01:00,128722,36999
13:07:07:1679400427+01:00,128722,37360
13:07:08:1679400428+01:00,128722,37719
13:07:08:1679400428+01:00,128722,38075
13:07:09:1679400429+01:00,128722,38434
13:07:09:1679400429+01:00,128722,38796
13:07:10:1679400430+01:00,128722,39161
13:07:10:1679400430+01:00,128722,39525
13:07:11:1679400431+01:00,128722,39886
13:07:11:1679400431+01:00,128722,40245
13:07:12:1679400432+01:00,128722,40607
13:07:12:1679400432+01:00,128722,40972
13:07:13:1679400433+01:00,128722,41333
13:07:13:1679400433+01:00,128722,41694
13:07:14:1679400434+01:00,128722,42057
13:07:14:1679400434+01:00,128722,42421
13:07:15:1679400435+01:00,128722,42784
13:07:15:1679400435+01:00,128722,43146
13:07:16:1679400436+01:00,128722,43505
13:07:16:1679400436+01:00,128722,43865
13:07:17:1679400437+01:00,128722,44224
13:07:17:1679400437+01:00,128722,44582
13:07:18:1679400438+01:00,128722,44941
13:07:18:1679400438+01:00,128722,45301
13:07:19:1679400439+01:00,128722,45657
13:07:19:1679400439+01:00,128722,46011
13:07:20:1679400440+01:00,128722,46367
13:07:20:1679400440+01:00,128722,46727
13:07:21:1679400441+01:00,128722,47089
13:07:21:1679400441+01:00,128722,47449
13:07:22:1679400442+01:00,128722,47809
13:07:22:1679400442+01:00,128722,48167
13:07:23:1679400443+01:00,128722,48525
13:07:23:1679400443+01:00,128722,48887
