baseline,language,taskset,execution,chunk_size,nrow,time
JsonJava,Java,false,IO,1000000,15000000,324888
JsonJava,Java,true,Total,1000000,15000000,5127279
JsonJava,Java,true,IO,1000000,15000000,361272
FlatBuffersJava,Java,false,Total,1000000,15000000,424249
FlatBuffersJava,Java,false,IO,1000000,15000000,233535
FlatBuffersJava,Java,true,Total,1000000,15000000,450180
FlatBuffersJava,Java,true,IO,1000000,15000000,259712
HandcodedCPP,CPP,false,IO,1000000,15000000,171784
HandcodedCPP,CPP,false,Total,1000000,15000000,525337
HandcodedCPP,CPP,true,Total,1000000,15000000,526572
HandcodedCPP,CPP,true,IO,1000000,15000000,172153
inPlaceCPP,CPP,false,IO,1000000,15000000,257302
inPlaceCPP,CPP,false,Total,1000000,15000000,624442
inPlaceCPP,CPP,true,Total,1000000,15000000,619750
inPlaceCPP,CPP,true,IO,1000000,15000000,257484
BoostCPP,CPP,false,IO,1000000,15000000,175731
BoostCPP,CPP,false,Total,1000000,15000000,2019025
BoostCPP,CPP,true,Total,1000000,15000000,2044875
BoostCPP,CPP,true,IO,1000000,15000000,176000
ProtoBufCPP,CPP,false,IO,1000000,15000000,150378
ProtoBufCPP,CPP,false,Total,1000000,15000000,715920
ProtoBufCPP,CPP,true,Total,1000000,15000000,719622
ProtoBufCPP,CPP,true,IO,1000000,15000000,151035
BsonCPP,CPP,false,IO,1000000,15000000,351556
BsonCPP,CPP,false,Total,1000000,15000000,15105799
BsonCPP,CPP,true,Total,1000000,15000000,15114986
BsonCPP,CPP,true,IO,1000000,15000000,352530
FlatBufCPP,CPP,false,IO,1000000,15000000,228387
FlatBufCPP,CPP,false,Total,1000000,15000000,700061
FlatBufCPP,CPP,true,Total,1000000,15000000,702185
FlatBufCPP,CPP,true,IO,1000000,15000000,228778
JsonRust,Rust,false,IO,1000000,15000000,361783
JsonRust,Rust,false,Total,1000000,15000000,714632
JsonRust,Rust,true,Total,1000000,15000000,715174
JsonRust,Rust,true,IO,1000000,15000000,363223
