baseline,language,taskset,execution,chunk_size,nrow,time
ByteBufferJava,Java,false,Total,1000000,15000000,994441
ByteBufferJava,Java,false,IO,1000000,15000000,193457
ByteBufferJava,Java,true,Total,1000000,15000000,992989
ByteBufferJava,Java,true,IO,1000000,15000000,217385
JsonJava,Java,false,Total,1000000,15000000,6140723
JsonJava,Java,false,IO,1000000,15000000,343740
JsonJava,Java,true,Total,1000000,15000000,5190388
JsonJava,Java,true,IO,1000000,15000000,376103
FlatBuffersJava,Java,false,Total,1000000,15000000,431731
FlatBuffersJava,Java,false,IO,1000000,15000000,246139
FlatBuffersJava,Java,true,Total,1000000,15000000,461158
FlatBuffersJava,Java,true,IO,1000000,15000000,272733
