baseline,language,taskset,execution,chunk_size,nrow,time
BsonCPP,CPP,false,IO,1000000,15000000,355720
BsonCPP,CPP,false,Total,1000000,15000000,15415136
BsonCPP,CPP,true,Total,1000000,15000000,15152533
BsonCPP,CPP,true,IO,1000000,15000000,352545
FlatBufCPP,CPP,false,IO,1000000,15000000,228222
FlatBufCPP,CPP,false,Total,1000000,15000000,700604
FlatBufCPP,CPP,true,Total,1000000,15000000,709744
FlatBufCPP,CPP,true,IO,1000000,15000000,228568
HandcodedCPP,CPP,false,IO,1000000,15000000,170640
HandcodedCPP,CPP,false,Total,1000000,15000000,515642
HandcodedCPP,CPP,true,Total,1000000,15000000,517088
HandcodedCPP,CPP,true,IO,1000000,15000000,171120
inPlaceCPP,CPP,false,IO,1000000,15000000,257348
inPlaceCPP,CPP,false,Total,1000000,15000000,600805
inPlaceCPP,CPP,true,Total,1000000,15000000,607043
inPlaceCPP,CPP,true,IO,1000000,15000000,257446
BoostCPP,CPP,false,IO,1000000,15000000,176673
BoostCPP,CPP,false,Total,1000000,15000000,2007309
BoostCPP,CPP,true,Total,1000000,15000000,2008245
BoostCPP,CPP,true,IO,1000000,15000000,175783
ProtoBufCPP,CPP,false,IO,1000000,15000000,150391
ProtoBufCPP,CPP,false,Total,1000000,15000000,707829
ProtoBufCPP,CPP,true,Total,1000000,15000000,707067
ProtoBufCPP,CPP,true,IO,1000000,15000000,149667
BsonCPP,CPP,false,IO,1000000,15000000,351408
BsonCPP,CPP,false,Total,1000000,15000000,15022236
BsonCPP,CPP,true,Total,1000000,15000000,15072319
BsonCPP,CPP,true,IO,1000000,15000000,351806
FlatBufCPP,CPP,false,IO,1000000,15000000,228286
FlatBufCPP,CPP,false,Total,1000000,15000000,686881
FlatBufCPP,CPP,true,Total,1000000,15000000,685997
FlatBufCPP,CPP,true,IO,1000000,15000000,228554
