06:24:03:1589264643+00:00,32116,230
06:24:04:1589264644+00:00,32116,231
06:24:05:1589264645+00:00,32116,278
06:24:06:1589264646+00:00,32116,354
06:24:07:1589264647+00:00,32116,356
06:24:08:1589264648+00:00,32116,358
06:24:09:1589264649+00:00,32116,359
06:24:10:1589264650+00:00,32116,360
06:24:11:1589264651+00:00,32116,360
06:24:12:1589264652+00:00,32116,361
06:24:13:1589264653+00:00,32116,361
06:24:14:1589264654+00:00,32116,361
06:24:15:1589264655+00:00,32116,362
06:24:16:1589264656+00:00,32116,362
06:24:17:1589264657+00:00,32116,362
06:24:18:1589264658+00:00,32116,362
06:24:19:1589264659+00:00,32116,363
06:24:20:1589264660+00:00,32116,363
06:24:21:1589264661+00:00,32116,363
06:24:22:1589264662+00:00,32116,364
06:24:23:1589264663+00:00,32116,364
06:24:24:1589264664+00:00,32116,364
06:24:25:1589264665+00:00,32116,365
06:24:26:1589264666+00:00,32116,365
06:24:27:1589264667+00:00,32116,365
06:24:28:1589264668+00:00,32116,365
06:24:29:1589264669+00:00,32116,365
06:24:30:1589264670+00:00,32116,365
06:24:31:1589264671+00:00,32116,366
06:24:32:1589264672+00:00,32116,366
06:24:33:1589264673+00:00,32116,367
06:24:34:1589264674+00:00,32116,366
06:24:35:1589264675+00:00,32116,367
06:24:36:1589264676+00:00,32116,367
06:24:37:1589264677+00:00,32116,367
06:24:38:1589264678+00:00,32116,367
06:24:39:1589264679+00:00,32116,367
06:24:40:1589264680+00:00,32116,368
06:24:41:1589264681+00:00,32116,368
06:24:42:1589264682+00:00,32116,369
06:24:43:1589264683+00:00,32116,369
06:24:44:1589264684+00:00,32116,369
06:24:45:1589264685+00:00,32116,369
06:24:46:1589264686+00:00,32116,370
06:24:47:1589264687+00:00,32116,370
06:24:48:1589264688+00:00,32116,371
06:24:49:1589264689+00:00,32116,371
06:24:50:1589264690+00:00,32116,370
06:24:51:1589264691+00:00,32116,371
06:24:52:1589264692+00:00,32116,371
06:24:53:1589264693+00:00,32116,372
06:24:54:1589264694+00:00,32116,371
06:24:55:1589264695+00:00,32116,372
06:24:56:1589264696+00:00,32116,372
06:24:57:1589264697+00:00,32116,372
06:24:58:1589264698+00:00,32116,373
06:24:59:1589264699+00:00,32116,373
06:25:00:1589264700+00:00,32116,373
