14:15:20:1589120120+00:00,32167,188
14:15:21:1589120121+00:00,32167,257
14:15:23:1589120123+00:00,32167,306
14:15:24:1589120124+00:00,32167,610
14:15:25:1589120125+00:00,32167,698
14:15:26:1589120126+00:00,32167,767
14:15:27:1589120127+00:00,32167,802
14:15:28:1589120128+00:00,32167,1088
14:15:29:1589120129+00:00,32167,1136
14:15:30:1589120130+00:00,32167,1321
14:15:31:1589120131+00:00,32167,1524
14:15:32:1589120132+00:00,32167,1726
14:15:33:1589120133+00:00,32167,1929
14:15:34:1589120134+00:00,32167,2130
14:15:35:1589120135+00:00,32167,2332
14:15:36:1589120136+00:00,32167,2484
14:15:37:1589120137+00:00,32167,2653
14:15:38:1589120138+00:00,32167,2861
14:15:39:1589120139+00:00,32167,3053
14:15:40:1589120140+00:00,32167,3246
14:15:41:1589120141+00:00,32167,3448
14:15:42:1589120142+00:00,32167,3649
14:15:43:1589120143+00:00,32167,3852
14:15:44:1589120144+00:00,32167,4055
14:15:45:1589120145+00:00,32167,4207
14:15:46:1589120146+00:00,32167,4455
14:15:47:1589120147+00:00,32167,4656
14:15:48:1589120148+00:00,32167,4856
14:15:49:1589120149+00:00,32167,5057
14:15:50:1589120150+00:00,32167,5260
14:15:51:1589120151+00:00,32167,5460
14:15:52:1589120152+00:00,32167,5657
14:15:53:1589120153+00:00,32167,5832
14:15:54:1589120154+00:00,32167,6037
14:15:55:1589120155+00:00,32167,6263
14:15:56:1589120156+00:00,32167,6464
14:15:57:1589120157+00:00,32167,6666
14:15:58:1589120158+00:00,32167,6841
14:15:59:1589120159+00:00,32167,7007
14:16:00:1589120160+00:00,32167,7266
14:16:01:1589120161+00:00,32167,7464
14:16:02:1589120162+00:00,32167,7659
14:16:03:1589120163+00:00,32167,7855
14:16:04:1589120164+00:00,32167,8055
14:16:05:1589120165+00:00,32167,8255
14:16:07:1589120167+00:00,32167,8454
14:16:08:1589120168+00:00,32167,8652
