02:04:52:1589162692+00:00,32167,187
02:04:53:1589162693+00:00,32167,255
02:04:54:1589162694+00:00,32167,266
02:04:55:1589162695+00:00,32167,642
02:04:56:1589162696+00:00,32167,746
02:04:57:1589162697+00:00,32167,819
02:04:59:1589162699+00:00,32167,1036
02:05:00:1589162700+00:00,32167,1042
02:05:01:1589162701+00:00,32167,1309
02:05:02:1589162702+00:00,32167,1314
02:05:03:1589162703+00:00,32167,1574
02:05:04:1589162704+00:00,32167,1841
02:05:05:1589162705+00:00,32167,1841
02:05:06:1589162706+00:00,32167,2109
02:05:07:1589162707+00:00,32167,2254
02:05:08:1589162708+00:00,32167,2374
02:05:09:1589162709+00:00,32167,2641
02:05:10:1589162710+00:00,32167,2641
02:05:11:1589162711+00:00,32167,2910
02:05:12:1589162712+00:00,32167,3148
02:05:13:1589162713+00:00,32167,3177
02:05:14:1589162714+00:00,32167,3443
02:05:15:1589162715+00:00,32167,3577
02:05:16:1589162716+00:00,32167,3710
02:05:17:1589162717+00:00,32167,3977
02:05:18:1589162718+00:00,32167,4048
02:05:19:1589162719+00:00,32167,4243
02:05:20:1589162720+00:00,32167,4510
02:05:21:1589162721+00:00,32167,4552
02:05:22:1589162722+00:00,32167,4777
02:05:23:1589162723+00:00,32167,5044
02:05:24:1589162724+00:00,32167,5080
02:05:25:1589162725+00:00,32167,5312
02:05:26:1589162726+00:00,32167,5567
02:05:27:1589162727+00:00,32167,5578
02:05:28:1589162728+00:00,32167,5845
02:05:29:1589162729+00:00,32167,5969
02:05:30:1589162730+00:00,32167,6113
02:05:31:1589162731+00:00,32167,6380
02:05:32:1589162732+00:00,32167,6454
02:05:33:1589162733+00:00,32167,6646
02:05:34:1589162734+00:00,32167,6913
02:05:35:1589162735+00:00,32167,6960
02:05:36:1589162736+00:00,32167,7180
02:05:37:1589162737+00:00,32167,7312
02:05:38:1589162738+00:00,32167,539
