rowdata,rustFLEXBUFFERSV,rustBSONV,rustMESSAGEPACKV,rustBINCODEV,rustJSONV,cppFLATBUFV,cppBSONV,cppBOOSTV,cppINPLACEV,cppPROTOBUFV,cppHANDCODEDV,javaFlatBufferV,javaByteBufferV,javaKryoV,javaProtoBufV,javaBsonV,javaJsonV,javaJsonGzipV,javaDefaultV
1,60.9736468586667,186.752643543,39.0140041286666,35.612095183,73.5283661280001,11.6533333333333,292.863333333333,51.5133333333333,1.34666666666665,20.2966666666666,13.2166666666667,13.3800381183333,39.133401895,37.3661959146666,33.3754950133333,89.8284342496666,122.860356555333,161.536815970667,167.417605436667
2,126.210921481333,385.947260082333,76.0276686073334,71.2597419123334,152.922299364667,22.9966666666667,579.69,108.526666666667,2.46999999999995,46.9366666666666,29.7366666666667,25.5881595630001,75.622150231,70.4388710086666,64.255402344,180.098604825667,248.119723400666,308.207343151,357.179180246667
3,227.025013127666,694.569288096,113.380624754667,98.8189662816667,262.387256327,32.78,902.6,157.356666666667,3.47333333333328,68.26,48.1400000000001,41.2186218566667,123.384036278667,105.12098367,100.231131885,294.437577531334,430.276862358334,463.780173209667,588.816676998333
4,350.686846873333,1057.141297357,152.871286428333,156.903745511,398.204244727333,37.4533333333334,1250.03333333334,196.603333333333,4.54333333333337,77.8,53.79,50.2947375703332,307.223413854999,174.408986032333,164.104196076333,425.682539100665,669.939425387001,672.624397042333,849.371490139
5,501.045573192003,NaN,239.172815322,271.251887996335,552.683196583668,53.4000000000002,NaN,258.893333333333,5.54000000000019,116.7,59.4100000000002,44.2863776156667,NaN,NaN,NaN,NaN,NaN,NaN,NaN
