rowdata,rustFLEXBUFFERSV,rustBSONV,rustMESSAGEPACKV,rustBINCODEV,rustJSONV,cppFLATBUFV,cppBSONV,cppBOOSTV,cppINPLACEV,cppPROTOBUFV,cppHANDCODEDV,javaFlatBufferV,javaByteBufferV,javaKryoV,javaProtoBufV,javaBsonV,javaJsonV,javaJsonGzipV,javaDefaultV
1,60.6885510123333,158.827507153333,34.4721925773333,25.6070039986667,54.6836089593333,5.1372,266.970503333333,39.64947,0.102166666666667,13.4838,6.64715666666667,16.8636053406667,103.933244366,87.0847426083333,86.8706219623333,239.491305916667,156.160894906667,358.376931643,351.697176149
2,116.470385603667,322.566975617333,64.3983525056667,55.2870989933333,105.348439155333,10.1885,535.0961,79.73209,0.190333333333333,26.4641466666667,12.5174,30.3768712043333,201.884622774333,169.785341030333,167.1336099,431.324270324,400.330991452333,651.869932479333,653.747164968667
3,172.564911900333,480.062863470333,98.6341270613333,83.1211684906667,161.659896345667,16.5328666666667,799.9638,124.379966666667,0.305833333333332,38.8496666666667,18.3467,45.9310558596667,304.740784147,245.251796716667,254.285848506333,691.482545772333,670.684693870333,1026.09083563867,1054.50688190367
4,215.010054420667,640.962618105667,128.217624524667,120.692153140333,211.62191227,21.6773333333333,1076.05263333333,160.135366666667,0.387766666666669,51.2444666666667,24.6723333333333,62.614325311,426.21250923,329.276256420667,353.356213774333,955.953838154667,960.039621585667,1407.79773611367,1425.155900497
5,278.816357459,NaN,148.952985712667,153.192207862667,260.464815420333,27.2730666666667,NaN,201.129633333333,0.50933333333334,65.3162666666667,34.4611666666667,70.0207844913333,NaN,NaN,NaN,NaN,NaN,NaN,NaN
