rowdata,rustFLEXBUFFERSV,rustBSONV,rustMESSAGEPACKV,rustBINCODEV,rustJSONV,cppFLATBUFV,cppBSONV,cppBOOSTV,cppINPLACEV,cppPROTOBUFV,cppHANDCODEDV,javaFlatBufferV,javaByteBufferV,javaKryoV,javaProtoBufV,javaBsonV,javaJsonV,javaJsonGzipV,javaDefaultV
1,88.6955815523333,199.941084107333,58.6805220163333,60.6217395436667,99.2377407553333,23.2528333333333,282.085666666667,43.3856666666667,21.6533666666667,17.6612,15.5808,21.4933571063333,41.868278969,38.3680358936667,34.9873156976667,99.086615722,133.193784196333,157.835644702,168.799736449667
2,195.109210966333,405.677003053667,121.229402552333,124.236852867667,215.698460652,43.9378666666667,550.270666666667,87.7461333333333,44.0674333333333,35.0949666666667,30.8219666666667,41.785905983,86.8541800176667,77.4830453283333,69.754827249,183.846361419,240.106445168333,304.280321841,334.030158575333
3,289.748729011,599.813363933333,188.475251034,185.079710181667,326.368726339,66.1584333333333,835.954,134.128,68.4879333333333,55.6140333333333,47.3182666666667,62.693392099,132.139004213,117.716237612333,109.086058151667,298.906865972333,348.859698219333,461.362980544,507.157168278667
4,389.316858987667,804.262368032667,241.927415036333,252.756176502667,423.072726866333,87.9341,1120.00333333333,181.396666666667,90.8586,79.0432,67.1438,85.4372658003333,269.800383434333,157.813525116333,152.153164247,391.33862634,453.160365277,612.980988721667,662.974074654333
5,494.340992844667,-1,309.367030349333,317.188324198667,545.13051161,110.786,-1,221.124,116.787333333333,86.3416666666667,78.4743666666667,99.8463937266667,-1,-1,-1,-1,-1,-1,-1
