index,tsfalsetotaltime,tstruetotaltime,shortmethod,cputsfalse,iotsfalse,cputstrue,iotstrue,method
1,32.6881333333333,56.3150666666667,HandCoded,14.897,17.7911333333333,28.1977666666667,28.1173,C++ HandCoded
2,43.0970333333333,79.3588,inPlace,19.6495,23.4475333333333,36.3705333333333,42.9882666666667,C++ inPlace
3,70.0914,111.615666666667,FlatBuffers,38.7121,31.3793,71.5448,40.0708666666667,C++ FlatBuffers
4,83.6932333333333,164.617666666667,ProtoBuf,68.5652,15.1280333333333,135.375566666667,29.2421,C++ ProtoBuf
5,210.312,419.801333333333,Boost,192.965933333333,17.3460666666667,382.999933333333,36.8014,C++ Boost
6,1195.31333333333,2345.63333333333,Bson,1128.40386666667,66.9094666666667,2233.11563333333,112.5177,C++ Bson
7,39.289049164,39.0553885983333,MessagePack,30.399810979,8.889238185,29.7147555936667,9.34063300466667,Rust MessagePack
8,43.111453262,44.508822447,Bincode,31.1799066996667,11.9315465623333,31.417682014,13.091140433,Rust Bincode
9,107.210037449,103.405678804,Json,82.055751603,25.154285846,81.2335137686667,22.1721650353333,Rust Json
10,297.822317310333,301.206188903,FlexBuffers,276.475072053333,21.347245257,276.649031447333,24.5571574556667,Rust FlexBuffers
11,459.534172646667,457.231450043667,Bson,428.91666031,30.6175123366667,429.728879326667,27.502570717,Rust Bson
12,1620.411517595,2060.56183124833,Json+Gzip,1595.75918271233,24.6523348826667,2035.45449329467,25.1073379536667,Java Json+Gzip
13,985.705625444333,1098.67058039567,Json,931.425357613,54.2802678313333,1037.48354523433,61.1870351613333,Java Json
14,421.615187943333,847.155308367,Bson,340.842531409333,80.772656534,763.735430914667,83.4198774523333,Java Bson
15,424.778920226667,583.846292304333,Default,369.580803544667,55.198116682,526.624497556333,57.221794748,Java Default
16,165.593016910667,313.464483205667,ProtoBuf,136.787323751333,28.8056931593333,273.087777581,40.3767056246667,Java ProtoBuf
17,139.943887517667,255.732341077,Byte Buffer,102.198203507667,37.74568401,211.103430528,44.628910549,Java Byte Buffer
18,176.812203305333,268.636648853,FlatBuffers,132.195381823,44.6168214823333,213.148464264,55.488184589,Java FlatBuffers
19,122.535955916,201.172780301333,Kryo,91.2667564423333,31.2691994736667,160.590564096,40.5822162053333,Java Kryo
