baseline,language,taskset,execution,chunk_size,nrow,time
Json+GzipJava,Java,true,IO,500000,3500000,32281
BsonJava,Java,false,Total,500000,3500000,736081
BsonJava,Java,false,IO,500000,3500000,142652
BsonJava,Java,true,Total,500000,3500000,721148
BsonJava,Java,true,IO,500000,3500000,155328
ProtoBufJava,Java,false,Total,500000,3500000,218813
ProtoBufJava,Java,false,IO,500000,3500000,58310
ProtoBufJava,Java,true,Total,500000,3500000,268218
ProtoBufJava,Java,true,IO,500000,3500000,61032
KryoJava,Java,false,Total,500000,3500000,228146
KryoJava,Java,false,IO,500000,3500000,57706
KryoJava,Java,true,Total,500000,3500000,261045
KryoJava,Java,true,IO,500000,3500000,61448
ByteBufferJava,Java,false,Total,500000,3500000,201274
ByteBufferJava,Java,false,IO,500000,3500000,70597
ByteBufferJava,Java,true,Total,500000,3500000,239781
ByteBufferJava,Java,true,IO,500000,3500000,73964
JsonJava,Java,false,Total,500000,3500000,1336131
JsonJava,Java,false,IO,500000,3500000,124326
JsonJava,Java,true,Total,500000,3500000,1298728
JsonJava,Java,true,IO,500000,3500000,135090
FlatBuffersJava,Java,false,Total,500000,3500000,133578
FlatBuffersJava,Java,false,IO,500000,3500000,86653
FlatBuffersJava,Java,true,Total,500000,3500000,141973
FlatBuffersJava,Java,true,IO,500000,3500000,91403
HandcodedCPP,CPP,false,IO,500000,3500000,34125
HandcodedCPP,CPP,false,Total,500000,3500000,84571
HandcodedCPP,CPP,true,Total,500000,3500000,78211
HandcodedCPP,CPP,true,IO,500000,3500000,42821
inPlaceCPP,CPP,false,IO,500000,3500000,86772
inPlaceCPP,CPP,false,Total,500000,3500000,103582
inPlaceCPP,CPP,true,Total,500000,3500000,98352
inPlaceCPP,CPP,true,IO,500000,3500000,84316
BoostCPP,CPP,false,IO,500000,3500000,37498
BoostCPP,CPP,false,Total,500000,3500000,429763
BoostCPP,CPP,true,Total,500000,3500000,412544
BoostCPP,CPP,true,IO,500000,3500000,46988
ProtoBufCPP,CPP,false,IO,500000,3500000,31655
ProtoBufCPP,CPP,false,Total,500000,3500000,116984
ProtoBufCPP,CPP,true,Total,500000,3500000,113133
ProtoBufCPP,CPP,true,IO,500000,3500000,38729
BsonCPP,CPP,false,IO,500000,3500000,128127
BsonCPP,CPP,false,Total,500000,3500000,2283163
BsonCPP,CPP,true,Total,500000,3500000,2284848
BsonCPP,CPP,true,IO,500000,3500000,129173
FlatBufCPP,CPP,false,IO,500000,3500000,77194
FlatBufCPP,CPP,false,Total,500000,3500000,108543
FlatBufCPP,CPP,true,Total,500000,3500000,107642
FlatBufCPP,CPP,true,IO,500000,3500000,76143
DefaultJava,Java,false,Total,500000,3500000,1097358
DefaultJava,Java,false,IO,500000,3500000,138493
DefaultJava,Java,true,Total,500000,3500000,1093039
DefaultJava,Java,true,IO,500000,3500000,151921
Json+GzipJava,Java,false,Total,500000,3500000,2234745
Json+GzipJava,Java,false,IO,500000,3500000,42393
Json+GzipJava,Java,true,Total,500000,3500000,2309344
Json+GzipJava,Java,true,IO,500000,3500000,31364
BsonJava,Java,false,Total,500000,3500000,722484
BsonJava,Java,false,IO,500000,3500000,142857
BsonJava,Java,true,Total,500000,3500000,742879
BsonJava,Java,true,IO,500000,3500000,155726
ProtoBufJava,Java,false,Total,500000,3500000,225295
ProtoBufJava,Java,false,IO,500000,3500000,59714
ProtoBufJava,Java,true,Total,500000,3500000,270069
ProtoBufJava,Java,true,IO,500000,3500000,60599
KryoJava,Java,false,Total,500000,3500000,227052
KryoJava,Java,false,IO,500000,3500000,57146
KryoJava,Java,true,Total,500000,3500000,271675
KryoJava,Java,true,IO,500000,3500000,60019
