baseline,language,taskset,execution,chunk_size,nrow,time
BoostCPP,CPP,false,Total,1000000,7000000,624947
BoostCPP,CPP,true,Total,1000000,7000000,628262
BoostCPP,CPP,true,IO,1000000,7000000,86437
ProtoBufCPP,CPP,false,IO,1000000,7000000,60587
ProtoBufCPP,CPP,false,Total,1000000,7000000,194562
ProtoBufCPP,CPP,true,Total,1000000,7000000,188675
ProtoBufCPP,CPP,true,IO,1000000,7000000,78007
BsonCPP,CPP,false,IO,1000000,7000000,251057
BsonCPP,CPP,false,Total,1000000,7000000,3277730
BsonCPP,CPP,true,Total,1000000,7000000,3246581
BsonCPP,CPP,true,IO,1000000,7000000,250217
FlatBufCPP,CPP,false,IO,1000000,7000000,155696
FlatBufCPP,CPP,false,Total,1000000,7000000,172389
FlatBufCPP,CPP,true,Total,1000000,7000000,177946
FlatBufCPP,CPP,true,IO,1000000,7000000,149490
JsonRust,Rust,false,IO,1000000,7000000,264225
JsonRust,Rust,false,Total,1000000,7000000,339676
JsonRust,Rust,true,Total,1000000,7000000,342927
JsonRust,Rust,true,IO,1000000,7000000,257786
BincodeRust,Rust,false,IO,1000000,7000000,80639
BincodeRust,Rust,false,Total,1000000,7000000,155347
BincodeRust,Rust,true,Total,1000000,7000000,157718
BincodeRust,Rust,true,IO,1000000,7000000,108997
MessagePackRust,Rust,false,IO,1000000,7000000,58949
MessagePackRust,Rust,false,Total,1000000,7000000,172666
MessagePackRust,Rust,true,Total,1000000,7000000,169135
MessagePackRust,Rust,true,IO,1000000,7000000,57268
BsonRust,Rust,false,IO,1000000,7000000,244676
BsonRust,Rust,false,Total,1000000,7000000,1217058
BsonRust,Rust,true,Total,1000000,7000000,1224154
BsonRust,Rust,true,IO,1000000,7000000,239450
FlexBufRust,Rust,false,IO,1000000,7000000,235019
FlexBufRust,Rust,false,Total,1000000,7000000,516640
FlexBufRust,Rust,true,Total,1000000,7000000,516928
FlexBufRust,Rust,true,IO,1000000,7000000,232286
