size,Java Default,Java Json+Gzip,Java Bson,Java ProtoBuf,Java Kryo,Java Byte Buffer,Java FlatBuffers,C++ HandCoded,C++ ProtoBuf,C++ inPlace,C++ Boost,C++ Bson,C++ FlatBuffers
1e+06,167.417605436667,161.536815970667,89.8284342496666,33.3754950133333,37.3661959146666,39.133401895,13.3800381183333,13.2166666666667,20.2966666666666,1.34666666666665,51.5133333333333,292.863333333333,11.6533333333333
2e+06,357.179180246667,308.207343151,180.098604825667,64.255402344,70.4388710086666,75.622150231,25.5881595630001,29.7366666666667,46.9366666666666,2.46999999999995,108.526666666667,579.69,22.9966666666667
3e+06,588.816676998333,463.780173209667,294.437577531334,100.231131885,105.12098367,123.384036278667,41.2186218566667,48.1400000000001,68.26,3.47333333333328,157.356666666667,902.6,32.78
4e+06,849.371490139,672.624397042333,425.682539100665,164.104196076333,174.408986032333,307.223413854999,50.2947375703332,53.79,77.8,4.54333333333337,196.603333333333,1250.03333333334,37.4533333333334
5e+06,NaN,NaN,NaN,NaN,NaN,NaN,44.2863776156667,59.4100000000002,116.7,5.54000000000019,258.893333333333,NaN,53.4000000000002
